p,h2,alpha,K,num,logistic,Method,jump_sign,use_mle,n_keep,r2_1,r2_2,r2_3,r2_est_1,r2_est_2,r2_est_3,h2_est_1,h2_est_2,h2_est_3,p_est_1,p_est_2,p_est_3,alpha_est_1,alpha_est_2,alpha_est_3
0.1,0.03,0,0.02,1,FALSE,SBayesS,,,,0.0001492,5.31e-05,0.0002961,0.0003419,0.0002186,0.0005481,0.004796,0.003811,0.007319,0.05563,0.04293,0.0726,-0.1489,-0.3624,-0.0433
0.1,0.03,0,0.02,1,FALSE,LDSc,,,,,,,,,,0.006415,0.003268,0.009561,,,,,,
0.1,0.03,0,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,13,0.0001616,6.409e-05,0.000316,0.002925,0.001502,0.004651,0.05743,0.03776,0.07476,0.009641,0.002915,0.02046,,,
0.1,0.03,0,0.02,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,6,0.0001506,5.364e-05,0.0002967,0.004097,0.001616,0.007848,0.0628,0.03088,0.1034,0.01016,0.003786,0.02227,-0.08062,-0.8757,0.5
0.1,0.03,0,0.02,1,TRUE,SBayesS,,,,0.0001517,5.906e-05,0.0002971,0.004611,0.003053,0.00716,0.0679,0.05353,0.09739,0.05323,0.04124,0.06897,-0.5719,-0.744,-0.3968
0.1,0.03,0,0.02,1,TRUE,LDSc,,,,,,,,,,0.08227,0.04212,0.1224,,,,,,
0.1,0.03,0,0.2,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,26,0.002465,0.001981,0.003009,0.002046,0.001598,0.002445,0.0144,0.01127,0.01642,0.01169,0.004443,0.02425,,,
0.1,0.03,0,0.2,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,40,0.002639,0.002166,0.003141,0.002055,0.001426,0.002826,0.01371,0.009456,0.01828,0.01482,0.006577,0.02546,-0.4812,-0.9195,0.3264
0.1,0.03,0,0.2,1,FALSE,SBayesS,,,,0.002649,0.00216,0.003147,0.002426,0.002065,0.002873,0.0148,0.01308,0.0168,0.0763,0.05441,0.09121,-0.1101,-0.2534,0.01886
0.1,0.03,0,0.2,1,FALSE,LDSc,,,,,,,,,,0.01742,0.01358,0.02127,,,,,,
0.1,0.03,0,0.2,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,25,0.002484,0.002044,0.003014,0.003219,0.002556,0.003828,0.02271,0.01806,0.02566,0.01262,0.004714,0.02484,,,
0.1,0.03,0,0.2,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,30,0.002632,0.002133,0.00322,0.003128,0.002046,0.00428,0.0209,0.01382,0.02807,0.01396,0.005834,0.0253,-0.362,-0.9098,0.4297
0.1,0.03,0,0.2,1,TRUE,SBayesS,,,,0.00257,0.0021,0.003107,0.003804,0.003266,0.00446,0.02486,0.02228,0.0284,0.05956,0.04598,0.07443,-0.8146,-0.9405,-0.5657
0.1,0.03,0,0.2,1,TRUE,LDSc,,,,,,,,,,0.02724,0.02123,0.03325,,,,,,
0.1,0.03,-0.5,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,34,0.00025,0.0001153,0.0004281,0.000255,0.0001448,0.0003805,0.004434,0.002918,0.005715,0.009849,0.002161,0.0211,,,
0.1,0.03,-0.5,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,14,0.0002578,0.0001262,0.0004397,0.0002196,7.971e-05,0.0004604,0.003686,0.001675,0.006668,0.01053,0.003329,0.02093,0.07506,-0.9926,0.5
0.1,0.03,-0.5,0.02,1,FALSE,SBayesS,,,,0.0002424,0.0001118,0.000407,0.0002311,0.0001233,0.0003997,0.003763,0.002605,0.005927,0.04363,0.03138,0.05551,-0.2849,-0.5746,-0.145
0.1,0.03,-0.5,0.02,1,FALSE,LDSc,,,,,,,,,,0.006179,0.003307,0.009051,,,,,,
0.1,0.03,-0.5,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,42,0.00025,0.0001208,0.0004359,0.003131,0.001789,0.00471,0.05541,0.03615,0.07163,0.009263,0.001872,0.02171,,,
0.1,0.03,-0.5,0.02,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,17,0.000259,0.0001267,0.0004553,0.002941,0.00103,0.005816,0.04858,0.02232,0.08233,0.01253,0.004688,0.02251,-0.01755,-0.8496,0.5
0.1,0.03,-0.5,0.02,1,TRUE,SBayesS,,,,0.0002489,0.0001163,0.000426,0.002598,0.001435,0.004391,0.04557,0.03155,0.06897,0.04385,0.0318,0.05831,-0.3533,-0.5335,-0.2158
0.1,0.03,-0.5,0.02,1,TRUE,LDSc,,,,,,,,,,0.07998,0.04305,0.1169,,,,,,
